chain,Currency,owner1,owner2,owner3,owner4
BTC,BTC,4.568627451,1,0,0
ETH,ETH,4.504901961,2,0,0
BSC,BNB,4.441176471,3,0,0
SOL,USDT,4.37745098,4,0,0
ADA,ADA,4.31372549,5,0,0
SOL,USDC,4.25,0,0,0
SOL,SOL,4.18627451,0,0,0
XRP,XRP,4.12254902,0,0,0
FTM,LUNA,4.058823529,0,0,0
DOT,DOT,3.995098039,0,0,3.11
FTM,AVAX,3.931372549,0,0,0
MATIC,MATIC,3.867647059,0,0,0
FTM,LINK,3.803921569,0,0,0
SOL,WBTC,3.740196078,0,0,0
ATOM,ATOM,3.676470588,0,0,0
SOL,UST,3.612745098,0,0,0
LTC,LTC,3.549019608,0,0,0
MATIC,DAI,3.485294118,0,0,0
SOL,UNI,3.421568627,0,0,0
BCH,BCH,3.357843137,0,0,0
FTM,FTM,3.294117647,0,0,0
TRX,TRX,3.230392157,0,0,0
SOL,FTT,3.166666667,0,0,0
VET,VET,3.102941176,0,0,0
ETC,ETC,3.039215686,5,0,0
XMR,XMR,2.975490196,4,0,0
XTZ,XTZ,2.911764706,3,0,0
ETH,AAVE,2.848039216,2,0,0
BSC,CAKE,2.784313725,1,0,1.004
ETH,GRT,2.720588235,1,0,0
ATOM,OSMO,2.656862745,2,0,0
DOT,KSM,2.593137255,3,0,0
ETH,AMP,2.529411765,4,0,0
FTM,CRV,2.465686275,5,0,0
ETH,LRC,2.401960784,0,0,0
DASH,DASH,2.338235294,0,0,0
ETH,NEXO,2.274509804,0,0,0
SOL,SUSHI,2.210784314,0,0,0
MINA,MINA,2.147058824,0,0,0
ETH,COMP,2.083333333,0,0,0
ETH,HOT,2.019607843,0,0,0
ETH,LPT,1.955882353,0,0,0
ATOM,KAVA,1.892156863,0,0,0
ETH,RLY,1.828431373,0,0,0
ATOM,JUNO,1.764705882,0,0,0
CKB,CKB,1.700980392,0,0,0
MATIC,TEL,1.637254902,0,0,0
FTM,ANY,1.573529412,0,0,0
DAG,DAG,1.509803922,0,0,0
ETH,REN,1.446078431,0,0,0
ETH,POLY,1.382352941,0,0,0
SOL,RAY,1.318627451,0,0,0
SOL,SRM,1.254901961,0,0,0
CSPR,CSPR,1.191176471,5,0,0
ETH,KEEP,1.12745098,4,0,0
ETH,ALPHA,1.06372549,3,0,0
SOL,STSOL,1,2,0,0
DOT,BFC,0.93627451,1,0,0
FTM,BOO,0.87254902,1,0,0
VET,VTHO,0.808823529,2,0,0
MATIC,MIMATIC,0.745098039,3,1,0
ERG,ERG,0.681372549,4,0,0
SOL,MNGO,0.617647059,5,0,0
NKN,NKN,0.553921569,0,0,0
KAI,KAI,0.490196078,0,2,0
ETH,BAL,0.426470588,0,0,0
ARRR,ARRR,0.362745098,0,0,0
BSC,XVS,0.299019608,0,0,0
SOL,LDO,0.235294118,0,0,0
DOT,CLV,0.171568627,0,0,0
HNS,HNS,0.107843137,0,0,0
BSC,BIFI,0.171568627,0,3,0
DERO,DERO,0.235294118,0,0,0
ATOM,LINA,0.299019608,0,0,0
WAN,WAN,0.362745098,0,0,0
CELO,CUSD,0.426470588,0,0,0
MATIC,QUICK,0.490196078,0,0,0
ETH,FARM,0.553921569,0,0,0
FTM,SPIRIT,0.617647059,0,4,0
SOL,SBR,0.681372549,0,0,0
ETH,XFT,0.745098039,0,0,0
ATOM,EROWAN,0.808823529,0,0,0
ETH,PHA,0.87254902,5,0,0
ETH,FORTH,0.93627451,4,0,0
ETH,HAI,1,3,0,0
ETH,ZKS,1.06372549,2,0,0
AION,AION,1.12745098,1,0,0
BSC,VAI,1.191176471,1,0,0.004
SOL,DFL,1.254901961,2,0,0
SOL,ORCA,1.318627451,3,0,0
ETH,INST,1.382352941,4,0,0
ETH,UBSN,1.446078431,5,0,0
FTM,BEETS,1.509803922,0,2,0
MATIC,QI,1.573529412,0,0,0
ETH,XHDX,1.637254902,0,0,0
FTM,OOE,1.700980392,0,0,0
NIM,NIM,1.764705882,0,0,0
ETH,UMB,1.828431373,0,0,0
AVAX,PNG,1.892156863,0,0,0
SOL,STEP,1.955882353,0,0,0
ETH,CVP,2.019607843,0,0,0
ETH,STAKE,2.083333333,0,0,0
FTM,TREEB,2.147058824,0,0,0
SOL,SLND,2.210784314,0,0,0
FTM,BRUSH,2.274509804,0,0,0
ETH,MTA,2.338235294,0,0,0
FTM,SCREAM,2.401960784,0,0,0
FTM,TAROT,2.465686275,0,0,0
ETH,KYL,2.529411765,0,0,0
FTM,DFYN,2.593137255,0,40,0
ETH,RADAR,2.656862745,0,0,0
SOL,TULIP,2.720588235,5,0,0
ETH,SKU,2.784313725,4,0,0
WTC,WTC,2.848039216,3,0,0
ETH,PCT,2.911764706,2,0,0
ETH,BAO,2.975490196,1,0,0
ETH,FOAM,3.039215686,1,0,0
SOL,RIN,3.102941176,2,0,0
SOL,COPE,3.166666667,3,0,0
SOL,SNY,3.230392157,4,0,0
MATIC,YEL,3.294117647,5,0,0
SOL,MNDE,3.357843137,0,0,0
ETH,TONE,3.421568627,0,0,0
ETH,KEX,3.485294118,0,0,0
SOL,PORT,3.549019608,0,2,0
SOL,MER,3.612745098,0,0,0
MATIC,WSG,3.676470588,0,0,0
ATOM,IOV,3.740196078,0,0,0
ETH,RFUEL,3.803921569,0,0,0
SOL,UBXT,3.867647059,0,0,0
ETH,ARMOR,3.931372549,0,0,0
ETH,RDN,3.995098039,0,0,0
MATIC,COMBO,4.058823529,0,0,0
ETH,PI,4.12254902,0,0,0
MATIC,PICKLE,4.18627451,0,0,0.59
SOL,GTON,4.25,0,0,0
ETH,GLQ,4.31372549,0,0,0
ETH,FIN,4.37745098,0,0,0
SOL,LIQ,4.441176471,0,0,0
MATIC,DINO,4.504901961,0,0,0
SOL,FAB,4.568627451,5,0,0
ETH,BUIDL,4.632352941,4,0,0
ETH,MAN,4.696078431,3,0,0
SOL,IVN,4.759803922,2,0,0
