chain,Currency,API id,owner1,owner2,owner3,owner4
BTC,BTC,bitcoin,4.568627451,1,0,0
ETH,ETH,ethereum,4.504901961,2,0,0
BSC,BNB,binancecoin,4.441176471,3,0,0
SOL,USDT,tether,4.37745098,4,0,0
ADA,ADA,cardano,4.31372549,5,0,0
SOL,USDC,usd-coin,4.25,0,0,0
SOL,SOL,solana,4.18627451,0,0,0
XRP,XRP,ripple,4.12254902,0,0,0
FTM,LUNA,terra-luna,4.058823529,0,0,0
DOT,DOT,polkadot,3.995098039,0,0,3.11
FTM,AVAX,avalanche-2,3.931372549,0,0,0
MATIC,MATIC,matic-network,3.867647059,0,0,0
FTM,LINK,chainlink,3.803921569,0,0,0
SOL,WBTC,wrapped-bitcoin,3.740196078,0,0,0
ATOM,ATOM,cosmos,3.676470588,0,0,0
SOL,UST,terrausd,3.612745098,0,0,0
LTC,LTC,litecoin,3.549019608,0,0,0
MATIC,DAI,dai,3.485294118,0,0,0
SOL,UNI,uniswap,3.421568627,0,0,0
BCH,BCH,bitcoin-cash,3.357843137,0,0,0
FTM,FTM,fantom,3.294117647,0,0,0
TRX,TRX,tron,3.230392157,0,0,0
SOL,FTT,ftx-token,3.166666667,0,0,0
VET,VET,vechain,3.102941176,0,0,0
ETC,ETC,ethereum-classic,3.039215686,5,0,0
XMR,XMR,monero,2.975490196,4,0,0
XTZ,XTZ,tezos,2.911764706,3,0,0
ETH,AAVE,aave,2.848039216,2,0,0
BSC,CAKE,pancakeswap-token,2.784313725,1,0,1.004
ETH,GRT,the-graph,2.720588235,1,0,0
ATOM,OSMO,osmosis,2.656862745,2,0,0
DOT,KSM,kusama,2.593137255,3,0,0
ETH,AMP,amp-token,2.529411765,4,0,0
FTM,CRV,curve-dao-token,2.465686275,5,0,0
ETH,LRC,loopring,2.401960784,0,0,0
DASH,DASH,dash,2.338235294,0,0,0
ETH,NEXO,nexo,2.274509804,0,0,0
SOL,SUSHI,sushi,2.210784314,0,0,0
MINA,MINA,mina-protocol,2.147058824,0,0,0
ETH,COMP,compound-governance-token,2.083333333,0,0,0
ETH,HOT,holotoken,2.019607843,0,0,0
ETH,LPT,livepeer,1.955882353,0,0,0
ATOM,KAVA,kava,1.892156863,0,0,0
ETH,RLY,rally-2,1.828431373,0,0,0
ATOM,JUNO,juno-network,1.764705882,0,0,0
CKB,CKB,nervos-network,1.700980392,0,0,0
MATIC,TEL,telcoin,1.637254902,0,0,0
FTM,ANY,anyswap,1.573529412,0,0,0
DAG,DAG,constellation-labs,1.509803922,0,0,0
ETH,REN,republic-protocol,1.446078431,0,0,0
ETH,POLY,polymath,1.382352941,0,0,0
SOL,RAY,raydium,1.318627451,0,0,0
SOL,SRM,serum,1.254901961,0,0,0
CSPR,CSPR,casper-network,1.191176471,5,0,0
ETH,KEEP,keep-network,1.12745098,4,0,0
ETH,ALPHA,alpha-finance,1.06372549,3,0,0
SOL,STSOL,lido-staked-sol,1,2,0,0
